Pedigree,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
OH7B/LH195,0.904853505,0.294189745,-0.679167343,0.155737362,-0.697277825,0.896276362,-0.235427656,0.405476203,0.973275277,-0.638777021,-0.138750146
PB80/LH198,0.764421392,2.211501775,0.40996638,3.078166132,-0.977943084,0.278691563,0.428116092,-2.199278384,-0.064628975,0.381867957,-0.127836641
PH207_PHG47-1/PHB47,4.66087042,-3.667412836,3.241132401,-1.022497404,-1.1157321,0.94186611,0.239081917,0.159290802,-0.990826979,0.428373484,-0.057860337
PH207_PHG47-10/PHB47,4.664168888,-4.12199814,3.167343145,-0.998271859,-0.936895371,1.056526104,0.398625541,0.237994166,-0.827450036,0.659467728,-0.608042504
PH207_PHG47-11/PHB47,4.184173378,-3.405237116,3.449916619,-0.823553461,-1.014563818,0.87838008,0.10604748,0.251151127,-0.925272128,0.561176441,-0.089225153
PH207_PHG47-13/PHB47,4.324542172,-4.096282697,3.229516121,-0.873498988,-0.851136256,0.862184736,0.367485527,0.257469504,-0.85431473,0.472880846,-0.344576752
PH207_PHG47-14/PHB47,4.541005236,-3.525628707,3.282537828,-0.660798193,-0.517064794,1.179112851,0.201052311,0.291792869,-0.87986568,0.505440856,-0.085373064
PH207_PHG47-15/PHB47,4.628523772,-3.764934011,3.203634281,-0.444249535,-0.56347363,1.115894449,0.446790254,0.237204418,-0.783437444,0.518096757,-0.399658986
PH207_PHG47-16/PHB47,4.05963419,-3.40075573,3.61980816,-0.590244212,-0.53105751,1.01103631,0.096848522,0.327163775,-1.009529662,0.486070191,0.019725556
PH207_PHG47-17/PHB47,3.874869476,-2.806830876,3.558551486,-0.503189638,-0.678713862,1.082280508,0.077432611,0.293791878,-0.923709114,0.465996062,0.190696317
PH207_PHG47-18/PHB47,4.045917853,-3.225325827,3.378637761,-0.450459428,-0.56739201,1.036141771,0.326344938,0.306178472,-1.121768733,0.351239461,0.14868555
PH207_PHG47-2/PHB47,4.297561801,-4.043395904,3.181681736,-0.741444204,-0.911334346,1.016071536,0.273384714,0.271850401,-0.837167448,0.46091847,-0.297025302
PH207_PHG47-20/PHB47,4.413613573,-3.952936502,3.355723926,-0.959882414,-0.738418752,0.92885606,0.225433839,0.351831853,-0.997724896,0.545816395,-0.142392263
PH207_PHG47-22/PHB47,3.825826589,-3.420408569,3.468311824,-0.545686581,-0.529061096,0.931883561,0.233496037,0.340405276,-0.85330539,0.458096463,0.113790744
PH207_PHG47-23/PHB47,4.741812985,-3.783049366,3.106803801,-0.89851145,-0.821808577,1.018546681,0.364977771,0.143224286,-0.91126035,0.561235038,-0.262430818
PH207_PHG47-24/PHB47,3.957922324,-3.444187838,3.24720521,-0.76269652,-0.850082643,0.935808244,0.075162869,0.189786245,-0.960012492,0.425256018,0.169417965
PH207_PHG47-3/PHB47,4.209549576,-3.651327953,3.449277269,-0.916018266,-0.992964305,0.865954651,0.015421089,0.205276838,-0.970003444,0.530141556,-0.018802669
PH207_PHG47-4/PHB47,4.132155513,-3.700976589,3.310806427,-0.662030351,-0.617889344,0.91627457,0.397585029,0.437678542,-0.811766187,0.420316406,-0.16005918
PH207_PHG47-5/PHB47,4.589833991,-4.04237083,3.123022902,-0.929459327,-0.910284633,0.887756768,0.497418483,0.194600714,-0.940046407,0.49503799,-0.262437062
PH207_PHG47-6/PHB47,4.492506028,-3.430565391,3.266848065,-0.886394958,-0.859853432,1.00489869,-0.002703754,0.210639099,-0.852762521,0.591037171,-0.058089387
PH207_PHG47-7/PHB47,4.300018787,-3.831319756,3.39420531,-1.012010741,-0.970194856,0.857541384,0.246527722,0.253465596,-0.955266684,0.49747099,-0.248929278
PH207_PHG47-8/PHB47,4.230983829,-3.226083521,3.363974318,-0.81263095,-0.907399333,0.970237509,-0.033125348,0.194988297,-1.116940101,0.52675668,0.164594821
PHAW6/LH82,1.610880102,-0.933922428,-0.266034718,0.522017728,2.147354524,-0.661699358,0.046859745,-1.06365797,0.458879563,0.136888734,-0.163912658
PHAW6/PHB47,3.106156499,-3.675782057,3.293853694,-0.673653951,-0.725636069,0.868895621,0.552306546,0.377368202,-0.107650939,0.111648769,-0.461189295
PHAW6/PHZ51,-1.970061158,-1.918111073,0.583752349,0.455881812,0.228621882,-1.402859873,0.322772211,-1.529604011,0.783388265,0.145976364,-0.377127152
PHB47/LH82,4.951941568,-3.471092686,2.026955265,0.576351274,2.508858807,1.51524574,-0.059848251,0.78908015,-0.544690818,0.375155445,-0.229337534
PHB47/PHZ51,-2.709620032,-4.075325946,3.431633917,0.19087847,0.161677638,0.328257975,0.337143824,-0.211606693,0.164493686,-0.114177101,0.531708921
PHG39/LH195,1.423270655,0.492322296,-0.298506621,1.181734006,-0.515099147,0.293389219,-0.06477652,-0.104934019,0.797068418,-0.400841938,0.095486897
PHG47/PHB47,3.698101041,-2.371311144,3.643667976,-0.380637451,-0.376671233,0.918348027,-0.404176153,0.254363971,-1.197848431,0.476911512,0.992426109
PHG72/LH82,2.629998441,-0.771627249,-0.6209374,0.763786371,1.835657426,-0.609627889,-0.223197347,-0.994422258,0.321712534,0.262964332,-0.063244003
PHG72/PHB47,4.027651408,-3.794485678,2.998148529,-0.564882895,-0.772803416,0.776447277,0.499176296,0.301357441,-0.249151355,0.056835184,-0.76205201
PHG72/PHZ51,-2.726476306,-3.26013943,0.564613146,-0.157848891,0.238679968,-1.838907724,0.109306756,-1.1520723,0.881045567,0.125821237,-0.451775365
PHG80/LH82,2.960359809,-1.326903291,-0.837653252,0.228937572,3.150957228,-0.363699727,-0.020925213,0.078272429,0.601096994,0.056220972,0.024833608
PHG80/PHB47,1.463359096,-0.548622942,2.265843227,0.345901179,-0.139818465,0.381580228,0.147187776,-0.057614704,0.230306656,-0.371182646,0.654732455
PHG80/PHZ51,-4.240955822,-2.268075972,1.503239185,0.166328518,0.435901672,-0.844848219,-0.091937847,-0.698354337,0.562210735,-0.205565959,0.490882937
PHG83/PHB47,2.511689601,-4.157593175,3.341843086,-0.599827242,-0.668654348,0.838691544,0.560098122,0.188661815,-0.031874807,0.13206418,-0.558319039
PHHV4/LH82,2.877914826,-1.819788291,-2.319900568,0.548819709,3.371279638,0.710603997,-0.203465224,0.373576952,-0.293015363,-0.027722305,0.029354472
PHHV4/PHZ51,-6.249555889,-2.728061016,0.160801511,-0.047968021,0.04502671,0.031788146,0.008081709,-0.102228229,-0.242223534,-0.151571899,0.28588732
PHJ40/LH82,2.200536596,-1.249680189,-0.166020648,0.520528847,3.018041082,-0.512016575,0.481894077,-0.300452542,0.602530003,0.182209266,-0.122674594
PHJ40/PHZ51,-3.480473896,-2.023025099,1.462388478,0.19040883,0.937565396,-1.016189002,0.352154531,-1.11373256,0.765214205,-0.098171076,0.17462923
PHKE6/LH82,2.79917463,-0.774321141,-0.371040551,0.446919724,1.479750036,-0.846702109,-0.054083462,-1.121665317,0.030750877,0.254002568,-0.071295088
PHKE6/PHB47,4.514995663,-3.821372707,3.199477734,-0.786444155,-0.97423757,0.88445652,0.319717257,0.266767358,-0.827598974,0.374559568,-0.419506295
PHKE6/PHZ51,-2.18467282,-2.985325572,0.532565921,-0.473784232,0.21681906,-1.951390857,0.054923039,-1.393885885,0.442575943,0.208348653,-0.156122164
PHM49/LH82,1.88772868,-0.923577155,-0.014497873,0.188465921,2.491377968,-0.570504076,-0.302183863,-0.878968386,0.443258326,0.067270166,-0.091546833
PHM49/PHB47,2.595978868,-2.962849549,3.393911558,-0.329077103,-0.353354674,0.818449543,0.147634895,0.292120623,0.012826703,0.100834288,-0.138809939
PHM49/PHZ51,-2.421830009,-1.346981763,1.06782932,0.389285182,0.411291767,-1.208696893,0.104166591,-1.485606551,0.822820524,0.049722985,-0.263024946
PHM81/PHB47,3.527073473,-3.079947698,2.903349758,-0.206403043,-0.661190926,0.652523625,0.278702283,0.463879177,-0.408959073,-0.125820457,-0.145170745
PHM81/PHZ51,-2.958018783,-2.484676116,0.801988983,0.036045037,0.289679479,-1.765511128,0.062629554,-1.355942992,0.442258321,-0.012211284,0.041741608
PHN11_LH145_0002/LH198,1.138014936,-0.567915613,-1.620537185,0.333663487,-1.975392353,0.143420033,-0.262583999,0.437306235,0.356435708,-0.318250585,0.248618827
PHN11_LH145_0002/PHB47,3.325058783,-3.247176007,2.702396039,-0.04195081,-0.997728869,0.59857937,0.309679033,0.338236037,-0.257420176,-0.064639714,-0.077298852
PHN11_LH145_0005/PHB47,3.325413178,-2.294764902,2.473582632,0.529944099,-0.55615613,0.371200935,0.080471232,0.211639991,-0.40252221,-0.275430034,0.330155485
PHN11_LH145_0028/PHB47,3.448944152,-3.173297654,2.811813335,0.078210297,-0.861182751,0.499855196,0.292842427,0.393916143,-0.425337853,-0.103442818,-0.043372134
PHN11_LH145_0036/LH198,1.432130017,-0.516752192,-2.061344041,-0.089704531,-2.14865909,0.036996357,-0.121572577,0.177099084,0.272771149,-0.234695813,0.158168021
PHN11_OH43_0001/PHB47,3.805883719,-2.458910233,3.330428982,-0.469614897,-0.558718873,0.714712567,-0.891898732,0.250917462,-0.038170058,0.618980264,-0.269614439
PHN11_OH43_0036/PHB47,3.360984771,-2.066461426,3.418514732,-0.48966483,-0.735183071,0.691149201,-0.942724893,0.234034875,-0.310464227,0.783043812,0.129107672
PHN11_OH43_0088/PHB47,3.575457075,-2.507075989,3.568231382,-0.470721185,-0.724806624,0.732938921,-0.681538418,0.27650388,-0.16105425,0.506611981,-0.241908034
PHN11_OH43_0142/PHB47,3.68509978,-2.758672359,3.334595905,-0.582020203,-0.988876863,0.806353243,-0.443873855,0.322563822,-0.428476409,0.61908615,-0.07885311
PHN11_PHG47_0172/PB80,1.027978019,0.092232389,-2.65417352,-1.041158835,-1.553136894,0.257664049,-0.275158701,0.211215528,-0.70087519,0.063352967,0.7954899
PHN11_PHG47_0251/PHB47,4.464039937,-3.820953576,3.386828327,-0.812557114,-1.156277797,0.999416219,0.17636433,0.165975609,-0.640815887,0.48562594,-0.261657432
PHN11_PHG47_0385/LH185,1.015560969,1.79973299,1.765304663,-2.154614635,0.920214387,-1.606727104,0.133856097,-1.07164318,0.256558215,0.091279701,-0.096767726
PHN11_PHG47_0385/LH198,1.64611478,-0.077520649,-2.351285435,-0.824520683,-2.095078998,0.39996843,-0.384296442,0.600741209,-0.312242033,0.25700891,0.632047099
