env_code	date	TMAX	TMIN	DL	GDD	PTT	PTR	PTD1	PTD2	PTS
01NC06	2006-06-13	78.98	62.06	15.55	20.52	319.086	1.3196	263.106	1.0881	577036.7122
01NC06	2006-06-14	69.08	64.04	15.57	16.56	257.8392	1.0636	78.4728	0.3237	162648.8775
01NC06	2006-06-15	71.96	57.92	15.55	14.94	232.317	0.9608	218.322	0.9029	440930.5341
01NC06	2006-06-16	82.04	60.08	15.57	21.06	327.9042	1.3526	341.9172	1.4104	756597.2523
01NC06	2006-06-17	84.92	59	15.57	21.96	341.9172	1.4104	403.5744	1.6647	904343.3985
01NC06	2006-06-18	86	60.08	15.57	23.04	358.7328	1.4798	403.5744	1.6647	917916.0898
01NC06	2006-06-19	84.02	62.06	15.58	23.04	358.9632	1.4788	342.1368	1.4095	778678.1755
01NC06	2006-06-20	84.92	64.04	15.58	24.48	381.3984	1.5712	325.3104	1.3402	754979.3353
01NC06	2006-06-21	89.96	68	15.58	27	420.66	1.733	342.1368	1.4095	842004.4127
01NC06	2006-06-22	86	64.94	15.57	25.47	396.5679	1.6358	327.9042	1.3526	770619.3994
01NC06	2006-06-23	89.96	66.92	15.57	26.46	411.9822	1.6994	358.7328	1.4798	876248.4859
01NC06	2006-06-24	87.98	68	15.58	27	420.66	1.733	311.2884	1.2824	756483.233
01NC06	2006-06-25	87.98	69.98	15.58	27.99	436.0842	1.7965	280.44	1.1553	690167.5514
01NC06	2006-06-26	82.04	71.06	15.57	26.55	413.3835	1.7052	170.9586	0.7052	407525.469
01NC06	2006-06-27	84.02	71.06	15.57	27.54	428.7978	1.7688	201.7872	0.8324	487234.4853
01NC06	2006-06-28	78.98	68	15.57	23.49	365.7393	1.5087	170.9586	0.7052	391235.0976
01NC06	2006-06-29	89.06	69.08	15.55	27.54	428.247	1.7711	310.689	1.2849	764008.1741
01NC06	2006-06-30	80.96	64.94	15.55	22.95	356.8725	1.4759	249.111	1.0302	565169.3357
01NC06	2006-07-01	87.08	62.96	15.53	24.48	380.1744	1.5763	374.5836	1.5531	872825.1875
01NC06	2006-07-02	87.08	64.94	15.53	25.47	395.5491	1.6401	343.8342	1.4256	811748.0541
01NC06	2006-07-03	91.94	71.96	15.5	28.98	449.19	1.8697	309.69	1.289	786751.9605
01NC06	2006-07-04	93.92	71.96	15.5	28.98	449.19	1.8697	340.38	1.4168	875164.6332
01NC06	2006-07-05	89.06	69.98	15.48	27.99	433.2852	1.8081	295.3584	1.2326	727154.423
01NC06	2006-07-06	89.06	71.06	15.48	28.53	441.6444	1.843	278.64	1.1628	690653.1537
01NC06	2006-07-07	73.04	60.98	15.45	17.01	262.8045	1.101	186.327	0.7806	385810.3631
01NC06	2006-07-08	78.98	57.92	15.43	18.45	284.6835	1.1957	324.9558	1.3649	686425.9084
01NC06	2006-07-09	80.96	59	15.43	19.98	308.2914	1.2949	338.8428	1.4232	731759.0828
01NC06	2006-07-10	82.04	60.98	15.4	21.51	331.254	1.3968	324.324	1.3675	714326.2046
01NC06	2006-07-11	86	62.96	15.4	24.48	376.992	1.5896	354.816	1.4961	813942.2269
01NC06	2006-07-12	87.98	66.92	15.38	26.46	406.9548	1.7204	323.9028	1.3693	771653.7224
01NC06	2006-07-13	89.06	66.92	15.35	26.46	406.161	1.7238	339.849	1.4423	813698.0818
01NC06	2006-07-14	91.04	73.94	15.33	29.97	459.4401	1.955	262.143	1.1155	662997.2383
01NC06	2006-07-15	91.04	73.94	15.32	29.97	459.1404	1.9563	261.972	1.1162	662132.5534
01NC06	2006-07-16	91.94	73.04	15.3	29.52	451.656	1.9294	289.17	1.2353	729921.179
01NC06	2006-07-17	91.04	66.02	15.27	26.01	397.1727	1.7033	382.0554	1.6385	916285.8346
01NC06	2006-07-18	93.92	68	15.25	27	411.75	1.7705	395.28	1.6997	976056.9984
01NC06	2006-07-19	95	71.06	15.23	28.53	434.5119	1.8733	364.6062	1.5719	922123.2799
01NC06	2006-07-20	93.92	69.08	15.2	27.54	418.608	1.8118	377.568	1.6342	935462.4768
01NC06	2006-07-21	91.04	69.08	15.18	27.54	418.0572	1.8142	333.3528	1.4466	810254.5161
01NC06	2006-07-22	91.04	69.98	15.15	27.99	424.0485	1.8475	319.059	1.3901	778329.4347
01NC06	2006-07-23	87.08	69.08	15.13	27.54	416.6802	1.8202	272.34	1.1897	643457.9359
01NC06	2006-07-24	82.94	66.92	15.1	24.93	376.443	1.651	241.902	1.0609	547396.6492
01NC06	2006-07-25	86	69.08	15.07	27.54	415.0278	1.8275	254.9844	1.1228	595912.7199
01NC06	2006-07-26	84.02	69.98	15.05	27	406.35	1.794	211.302	0.9329	489734.6454
01NC06	2006-07-27	87.98	69.98	15.02	27.99	420.4098	1.8635	270.36	1.1984	641445.1053
01NC06	2006-07-28	93.02	69.98	15	27.99	419.85	1.866	345.6	1.536	844992
01NC06	2006-07-29	95	71.96	14.97	28.98	433.8306	1.9359	344.9088	1.5391	862062.0195
01NC06	2006-07-30	87.98	69.98	14.93	27.99	417.8907	1.8747	268.74	1.2056	633781.0441
01NC06	2006-07-31	89.96	71.06	14.9	28.53	425.097	1.9148	281.61	1.2685	675638.1488
01NC06	2006-08-01	93.02	71.96	14.87	28.98	430.9326	1.9489	313.1622	1.4163	768265.9814
01NC06	2006-08-02	95	73.04	14.83	29.52	437.7816	1.9906	325.6668	1.4808	811572.4777
01NC06	2006-08-03	96.98	75.02	14.82	30.51	452.1582	2.0587	325.4472	1.4818	829577.9307
01NC06	2006-08-04	98.06	75.02	14.78	30.51	450.9378	2.0643	340.5312	1.5589	871120.4906
01NC06	2006-08-05	98.06	73.94	14.75	29.97	442.0575	2.0319	355.77	1.6353	902588.49
01NC06	2006-08-06	89.06	73.94	14.72	29.97	441.1584	2.036	222.5664	1.0272	534016.9175
01NC06	2006-08-07	89.96	71.96	14.68	28.98	425.4264	1.9741	264.24	1.2262	628094.6749
01NC06	2006-08-08	93.02	71.96	14.65	28.98	424.557	1.9782	308.529	1.4375	745701.3263
01NC06	2006-08-09	93.92	73.04	14.62	29.52	431.5824	2.0192	305.2656	1.4282	745139.6537
01NC06	2006-08-10	87.98	69.98	14.58	27.99	408.0942	1.9198	262.44	1.2346	604414.2266
02MO06	2006-05-18	73.04	48.92	15.4	11.52	177.408	0.7481	371.448	1.5662	697647.6904
02MO06	2006-05-19	86	51.98	15.43	18.99	293.0157	1.2307	524.9286	2.2048	1117589.4722
02MO06	2006-05-20	75.02	57.02	15.45	16.02	247.509	1.0369	278.1	1.165	567329.0058
02MO06	2006-05-21	82.04	53.06	15.48	17.55	271.674	1.1337	448.6104	1.8721	938200.4628
02MO06	2006-05-22	75.92	57.02	15.52	16.47	255.6144	1.0612	293.328	1.2178	605202.7774
02MO06	2006-05-23	78.98	57.92	15.53	18.45	286.5285	1.188	327.0618	1.3561	695352.0293
02MO06	2006-05-24	87.08	66.02	15.57	26.01	404.9757	1.6705	327.9042	1.3526	781647.2111
02MO06	2006-05-25	89.06	69.08	15.6	27.54	429.624	1.7654	311.688	1.2808	768929.309
02MO06	2006-05-26	87.08	66.92	15.63	26.46	413.5698	1.6929	315.1008	1.2898	758453.9276
02MO06	2006-05-27	91.04	69.98	15.65	27.99	438.0435	1.7885	329.589	1.3457	830552.0852
02MO06	2006-05-28	91.04	68	15.68	27	423.36	1.7219	361.2672	1.4694	900909.0685
02MO06	2006-05-29	91.04	66.92	15.68	26.46	414.8928	1.6875	378.2016	1.5383	936734.5639
02MO06	2006-05-30	84.92	66.02	15.72	25.47	400.3884	1.6202	297.108	1.2023	704970.9695
02MO06	2006-05-31	84.02	66.02	15.73	25.02	393.5646	1.5906	283.14	1.1443	668246.9817
02MO06	2006-06-01	75.92	62.06	15.77	18.99	299.4723	1.2042	218.5722	0.8789	475600.9983
02MO06	2006-06-02	82.94	57.92	15.78	20.43	322.3854	1.2947	394.8156	1.5856	877584.5871
02MO06	2006-06-03	86	62.06	15.8	24.03	379.674	1.5209	378.252	1.5152	884863.0597
02MO06	2006-06-04	80.06	62.06	15.82	21.06	333.1692	1.3312	284.76	1.1378	640236.8428
02MO06	2006-06-05	82.04	60.98	15.83	21.51	340.5033	1.3588	333.3798	1.3304	754774.0675
02MO06	2006-06-06	84.92	62.06	15.85	23.49	372.3165	1.482	362.331	1.4423	844098.2545
02MO06	2006-06-07	87.08	66.92	15.87	26.46	419.9202	1.6673	319.9392	1.2703	781925.006
02MO06	2006-06-08	87.98	64.04	15.87	25.02	397.0674	1.5766	379.9278	1.5085	916597.6254
02MO06	2006-06-09	89.06	69.08	15.9	27.54	437.886	1.7321	317.682	1.2566	798787.8805
02MO06	2006-06-10	91.04	66.92	15.92	26.46	421.2432	1.6621	383.9904	1.5151	965629.5675
02MO06	2006-06-11	80.06	60.98	15.92	20.52	326.6784	1.2889	303.7536	1.1985	682035.2113
02MO06	2006-06-12	73.04	59	15.93	16.02	255.1986	1.0056	223.6572	0.8814	470439.9282
02MO06	2006-06-13	78.98	55.94	15.93	17.46	278.1378	1.096	367.0272	1.4463	788842.6055
02MO06	2006-06-14	84.92	60.08	15.93	22.5	358.425	1.4124	395.7012	1.5593	914010.4168
02MO06	2006-06-15	87.98	64.04	15.95	25.02	399.069	1.5687	381.843	1.5009	925861.9771
02MO06	2006-06-16	89.96	69.08	15.95	27.54	439.263	1.7266	333.036	1.3091	844808.4248
02MO06	2006-06-17	84.02	64.94	15.97	24.48	390.9456	1.5329	304.7076	1.1947	724866.2282
02MO06	2006-06-18	82.04	62.96	15.97	22.5	359.325	1.4089	304.7076	1.1947	705596.1539
02MO06	2006-06-19	89.06	64.04	15.97	25.02	399.5694	1.5667	399.5694	1.5667	976949.98
02MO06	2006-06-20	89.96	68	15.97	27	431.19	1.6907	350.7012	1.3751	884686.282
02MO06	2006-06-21	91.04	71.96	15.97	28.98	462.8106	1.8147	304.7076	1.1947	793187.4006
02MO06	2006-06-22	84.02	66.02	15.97	25.02	399.5694	1.5667	287.46	1.1271	688794.0594
02MO06	2006-06-23	82.94	64.04	15.97	23.49	375.1353	1.4709	301.833	1.1835	708483.727
02MO06	2006-06-24	84.92	62.06	15.97	23.49	375.1353	1.4709	365.0742	1.4314	856927.9365
02MO06	2006-06-25	82.94	62.96	15.95	22.95	366.0525	1.4389	318.681	1.2527	741604.1485
02MO06	2006-06-26	75.02	60.08	15.95	17.55	279.9225	1.1003	238.293	0.9367	513484.4796
02MO06	2006-06-27	80.96	57.02	15.93	18.99	302.5107	1.1921	381.3642	1.5028	838246.6728
02MO06	2006-06-28	86	57.92	15.93	21.96	349.8228	1.3785	447.3144	1.7627	1025533.391
02MO06	2006-06-29	91.94	62.96	15.93	24.48	389.9664	1.5367	461.6514	1.8192	1139151.1436
02MO06	2006-06-30	84.02	66.92	15.92	25.47	405.4824	1.5999	272.232	1.0741	654163.9134
02MO06	2006-07-01	95	64.04	15.92	25.02	398.3184	1.5716	492.8832	1.9447	1247939.2545
02MO06	2006-07-02	95	69.08	15.9	27.54	437.886	1.7321	412.128	1.6302	1075189.1996
02MO06	2006-07-03	95	69.08	15.9	27.54	437.886	1.7321	412.128	1.6302	1075189.1996
02MO06	2006-07-04	84.02	66.92	15.87	25.47	404.2089	1.6049	271.377	1.0775	650061.2963
02MO06	2006-07-05	82.04	62.06	15.85	22.05	349.4925	1.3912	316.683	1.2606	723299.2218
02MO06	2006-07-06	82.04	60.98	15.85	21.51	340.9335	1.3571	333.801	1.3287	756682.4715
02MO06	2006-07-07	82.94	59	15.82	20.97	331.7454	1.3255	378.7308	1.5133	850436.5271
02MO06	2006-07-08	87.08	60.98	15.8	23.49	371.142	1.4867	412.38	1.6519	964700.3282
02MO06	2006-07-09	87.08	68	15.8	27	426.6	1.7089	301.464	1.2076	738666.3865
02MO06	2006-07-10	78.08	66.92	15.77	22.5	354.825	1.4268	175.9932	0.7077	402434.8508
02MO06	2006-07-11	87.98	69.08	15.75	27.54	433.755	1.7486	297.675	1.2	736357.1591
02MO06	2006-07-12	89.96	73.94	15.73	29.97	471.4281	1.9053	251.9946	1.0184	649679.122
02MO06	2006-07-13	95	69.08	15.72	27.54	432.9288	1.7519	407.4624	1.6489	1050983.0889
02MO06	2006-07-14	87.98	68	15.68	27	423.36	1.7219	313.2864	1.2742	766225.3507
02MO06	2006-07-15	93.02	71.06	15.67	28.53	447.0651	1.8207	344.1132	1.4014	884761.0107
02MO06	2006-07-16	95	73.94	15.63	29.97	468.4311	1.9175	329.1678	1.3474	869178.1751
02MO06	2006-07-17	96.98	73.94	15.62	29.97	468.1314	1.9187	359.8848	1.475	960809.7864
02MO06	2006-07-18	95	73.94	15.6	29.97	467.532	1.9212	328.536	1.35	865844.8007
02MO06	2006-07-19	100.94	77	15.57	31.5	490.455	2.0231	372.7458	1.5376	1032701.8557
02MO06	2006-07-20	102.92	73.04	15.53	29.52	458.4456	1.9008	464.0364	1.924	1268053.152
02MO06	2006-07-21	84.92	64.94	15.5	24.93	386.415	1.6084	309.69	1.289	719357.2227
02MO06	2006-07-22	82.94	62.06	15.47	22.5	348.075	1.4544	323.0136	1.3497	724567.9568
02MO06	2006-07-23	87.98	60.98	15.45	23.49	362.9205	1.5204	417.15	1.7476	960042.3588
02MO06	2006-07-24	91.94	62.06	15.42	24.03	370.5426	1.5584	460.7496	1.9377	1094132.8601
02MO06	2006-07-25	96.08	66.02	15.4	26.01	400.554	1.689	462.924	1.9519	1155615.6982
02MO06	2006-07-26	98.06	73.94	15.37	29.97	460.6389	1.9499	370.7244	1.5693	980061.8528
02MO06	2006-07-27	89.06	75.02	15.33	30.51	467.7183	1.9902	215.2332	0.9159	541386.0548
02MO06	2006-07-28	95	71.06	15.3	28.53	436.509	1.8647	366.282	1.5647	930619.2705
02MO06	2006-07-29	100.94	73.94	15.27	29.97	457.6419	1.9627	412.29	1.7682	1100986.4723
02MO06	2006-07-30	102.92	73.94	15.23	29.97	456.4431	1.9678	441.3654	1.9028	1188852.0431
02MO06	2006-07-31	102.02	77	15.2	31.5	478.8	2.0724	380.304	1.6461	1034846.7356
02MO06	2006-08-01	102.02	77	15.17	31.5	477.855	2.0765	379.5534	1.6493	1030765.8455
02MO06	2006-08-02	102.92	77	15.13	31.5	476.595	2.082	392.1696	1.7132	1067560.0066
02MO06	2006-08-03	87.08	69.08	15.08	27.54	415.3032	1.8263	271.44	1.1936	639212.1016
02MO06	2006-08-04	91.04	64.04	15.05	25.02	376.551	1.6625	406.35	1.794	948402.2079
02MO06	2006-08-05	93.92	64.94	15.02	25.47	382.5594	1.6957	435.2796	1.9294	1038610.7292
02MO06	2006-08-06	102.92	71.06	14.98	28.53	427.3794	1.9045	477.2628	2.1268	1243852.0455
02MO06	2006-08-07	96.98	73.04	14.95	29.52	441.324	1.9746	357.903	1.6013	909717.4875
02MO06	2006-08-08	95	73.94	14.9	29.97	446.553	2.0114	313.794	1.4134	789884.1396
02MO06	2006-08-09	102.02	73.04	14.87	29.52	438.9624	1.9852	430.9326	1.9489	1121778.8364
02MO06	2006-08-10	91.04	73.94	14.83	29.97	444.4551	2.0209	253.593	1.1531	620454.1757
02MO06	2006-08-11	91.04	71.06	14.78	28.53	421.6734	1.9303	295.3044	1.3518	707501.5031
02MO06	2006-08-12	89.06	69.08	14.75	27.54	406.215	1.8671	294.705	1.3546	687418.5683
02MO06	2006-08-13	96.98	66.92	14.72	26.46	389.4912	1.7976	442.4832	2.0421	1067538.5082
02MO06	2006-08-14	82.94	64.04	14.67	23.49	344.5983	1.6012	277.263	1.2883	597833.5379
02MO06	2006-08-15	87.98	59	14.63	22.5	329.175	1.5379	423.9774	1.9809	911685.9804
02MO06	2006-08-16	91.94	62.06	14.6	24.03	350.838	1.6459	436.248	2.0466	980860.0032
02MO06	2006-08-17	96.98	68	14.55	27	392.85	1.8557	421.659	1.9918	1012175.1415
02MO06	2006-08-18	98.96	69.98	14.52	27.99	406.4148	1.9277	420.7896	1.9959	1032200.5917
02MO06	2006-08-19	91.04	71.96	14.47	28.98	419.3406	2.0028	276.0876	1.3186	651182.9742
02MO06	2006-08-20	84.02	69.98	14.43	27	389.61	1.8711	202.5972	0.973	450215.5498
02MO06	2006-08-21	87.98	66.92	14.38	26.46	380.4948	1.8401	302.8428	1.4645	674570.829
02MO06	2006-08-22	89.06	64.04	14.35	25.02	359.037	1.7436	359.037	1.7436	788798.9034
02MO06	2006-08-23	93.02	62.96	14.3	24.48	350.064	1.7119	429.858	2.1021	958804.287
02MO06	2006-08-24	93.92	62.06	14.27	24.03	342.9081	1.684	454.6422	2.2327	1011958.3394
02MO06	2006-08-25	84.02	71.06	14.22	27.54	391.6188	1.9367	184.2912	0.9114	406405.8836
03NY06	2006-05-09	73.94	48.92	15.48	11.97	185.2956	0.7733	387.3096	1.6163	736613.5934
03NY06	2006-05-10	71.96	48.02	15.52	10.98	170.4096	0.7075	371.5488	1.5425	691857.1564
03NY06	2006-05-11	77	53.06	15.55	15.03	233.7165	0.9666	372.267	1.5395	752885.0656
03NY06	2006-05-12	69.98	51.98	15.6	10.98	171.288	0.7038	280.8	1.1538	534243.3408
03NY06	2006-05-13	71.06	51.08	15.63	11.07	173.0241	0.7083	312.2874	1.2783	596171.6989
03NY06	2006-05-14	71.96	48.92	15.68	10.98	172.1664	0.7003	361.2672	1.4694	684745.2729
03NY06	2006-05-15	62.96	48.02	15.72	6.48	101.8656	0.4122	234.8568	0.9504	409732.4885
03NY06	2006-05-16	59	50	15.75	4.5	70.875	0.2857	141.75	0.5714	243349.3125
03NY06	2006-05-17	60.98	51.08	15.78	6.03	95.1534	0.3821	156.222	0.6274	276248.4249
03NY06	2006-05-18	66.02	51.98	15.82	9	142.38	0.5689	222.1128	0.8875	414631.2905
03NY06	2006-05-19	66.92	41	15.87	8.46	134.2602	0.5331	411.3504	1.6333	704515.8811
03NY06	2006-05-20	57.02	46.94	15.9	3.51	55.809	0.2208	160.272	0.634	264923.8462
03NY06	2006-05-21	55.04	44.96	15.95	2.52	40.194	0.158	160.776	0.632	256437.72
03NY06	2006-05-22	51.98	37.04	15.97	0.99	15.8103	0.062	238.5918	0.9355	339193.8893
03NY06	2006-05-23	51.08	39.02	16	0.54	8.64	0.0338	192.96	0.7537	278171.136
03NY06	2006-05-24	59	42.08	16.03	4.5	72.135	0.2807	271.2276	1.0555	439473.4435
03NY06	2006-05-25	73.04	48.92	16.07	11.52	185.1264	0.7169	387.6084	1.5009	759672.6179
03NY06	2006-05-26	73.94	57.02	16.1	15.48	249.228	0.9615	272.412	1.0509	574368.7159
03NY06	2006-05-27	69.98	57.02	16.13	13.5	217.755	0.8369	209.0448	0.8035	428230.3632
03NY06	2006-05-28	64.94	48.92	16.15	7.47	120.6405	0.4625	258.723	0.992	475749.9426
03NY06	2006-05-29	80.06	51.98	16.18	16.02	259.2036	0.9901	454.3344	1.7355	970643.2834
03NY06	2006-05-30	87.98	62.06	16.22	24.03	389.7666	1.4815	420.4224	1.598	1023160.4693
03NY06	2006-05-31	93.02	69.08	16.22	27.54	446.6988	1.6979	388.3068	1.476	1020960.3136
03NY06	2006-06-01	89.96	66.02	16.25	26.01	422.6625	1.6006	389.025	1.4732	986051.9419
03NY06	2006-06-02	78.08	59	16.28	18.54	301.8312	1.1388	310.6224	1.172	693204.3307
03NY06	2006-06-03	73.04	55.94	16.3	14.49	236.187	0.889	278.73	1.0491	585994.705
03NY06	2006-06-04	59	53.96	16.33	6.48	105.8184	0.3968	82.3032	0.3086	151819.5115
03NY06	2006-06-05	60.08	50	16.35	5.04	82.404	0.3083	164.808	0.6165	296622.7569
03NY06	2006-06-06	75.92	50	16.35	12.96	211.896	0.7927	423.792	1.5853	872499.5793
03NY06	2006-06-07	77	55.94	16.38	16.47	269.7786	1.0055	344.9628	1.2857	751176.2289
03NY06	2006-06-08	71.96	57.92	16.4	14.94	245.016	0.911	230.256	0.8561	490452.6482
03NY06	2006-06-09	64.94	55.94	16.4	10.44	171.216	0.6366	147.6	0.5488	292606.9632
03NY06	2006-06-10	66.92	46.04	16.43	8.46	138.9978	0.5149	343.0584	1.2708	636693.3369
03NY06	2006-06-11	59	46.94	16.45	4.5	74.025	0.2736	198.387	0.7331	345731.6039
03NY06	2006-06-12	60.98	48.02	16.45	5.49	90.3105	0.3337	213.192	0.7878	382263.9156
03NY06	2006-06-13	66.02	51.98	16.47	9	148.23	0.5464	231.2388	0.8525	449403.3582
03NY06	2006-06-14	73.04	55.94	16.47	14.49	238.6503	0.8798	281.637	1.0383	598281.6481
03NY06	2006-06-15	75.02	51.98	16.48	13.5	222.48	0.8192	379.6992	1.3981	794695.2376
03NY06	2006-06-16	75.02	51.98	16.48	13.5	222.48	0.8192	379.6992	1.3981	794695.2376
03NY06	2006-06-17	82.94	62.06	16.48	22.5	370.8	1.3653	344.1024	1.267	822267.095
03NY06	2006-06-18	89.96	66.92	16.5	26.46	436.59	1.6036	380.16	1.3964	984051.7632
03NY06	2006-06-19	91.04	71.06	16.5	28.53	470.745	1.7291	329.67	1.2109	881751.8655
03NY06	2006-06-20	78.98	62.96	16.5	20.97	346.005	1.2709	264.33	0.9709	619063.5033
03NY06	2006-06-21	75.92	53.96	16.5	14.94	246.51	0.9055	362.34	1.3309	776501.8668
03NY06	2006-06-22	78.98	57.92	16.5	18.45	304.425	1.1182	347.49	1.2764	784927.7865
03NY06	2006-06-23	86	66.92	16.5	26.46	436.59	1.6036	314.82	1.1564	794347.5276
03NY06	2006-06-24	77	60.98	16.5	18.99	313.335	1.1509	264.33	0.9709	601792.1811
03NY06	2006-06-25	82.94	62.96	16.48	22.95	378.216	1.3926	329.2704	1.2124	791708.2864
03NY06	2006-06-26	80.96	66.02	16.48	23.49	387.1152	1.4254	246.2112	0.9066	596380.2535
03NY06	2006-06-27	75.02	66.02	16.48	20.52	338.1696	1.2451	148.32	0.5461	344745.9901
03NY06	2006-06-28	80.96	66.02	16.47	23.49	386.8803	1.4262	246.0618	0.9071	595656.7106
03NY06	2006-06-29	84.92	62.96	16.47	23.94	394.2918	1.4536	361.6812	1.3333	880904.7991
03NY06	2006-06-30	78.98	60.98	16.45	19.98	328.671	1.2146	296.1	1.0942	681723.4662
03NY06	2006-07-01	77	59	16.43	18	295.74	1.0956	295.74	1.0956	660825.1152
03NY06	2006-07-02	82.94	66.92	16.42	24.93	409.3506	1.5183	263.0484	0.9756	647283.5135
03NY06	2006-07-03	86	66.92	16.4	26.46	433.944	1.6134	312.912	1.1634	784748.2499
03NY06	2006-07-04	86	69.08	16.4	27.54	451.656	1.6793	277.488	1.0317	705738.5603
03NY06	2006-07-05	80.96	60.98	16.37	20.97	343.2789	1.281	327.0726	1.2205	759972.0909
03NY06	2006-07-06	75.92	55.04	16.35	15.48	253.098	0.9468	341.388	1.2771	730978.62
03NY06	2006-07-07	73.94	55.94	16.33	14.94	243.9702	0.9149	293.94	1.1023	623429.2212
03NY06	2006-07-08	80.06	57.02	16.32	18.54	302.5728	1.136	376.0128	1.4118	841195.3811
03NY06	2006-07-09	80.96	64.04	16.28	22.5	366.3	1.3821	275.4576	1.0393	650245.2106
03NY06	2006-07-10	82.04	64.04	16.27	23.04	374.8608	1.4161	292.86	1.1063	696046.6878
03NY06	2006-07-11	82.04	62.96	16.25	22.5	365.625	1.3846	310.05	1.1742	730555.3125
03NY06	2006-07-12	82.04	66.02	16.23	24.03	390.0069	1.4806	260.0046	0.9871	624794.6419
