line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
LH195/PHN47,133.635,NA,NA,190.975,NA,149.23,123.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.1,NA,230.62
LH195/PHN82,86.8,94.185,NA,217.17,NA,163.92,119.615,NA,143.64,191.605,172.145,NA,NA,180.73,207.21,190.90924005,204.885,204.22557695,228.9825
LH195/PHP60,39.215,NA,NA,197.75,NA,144.955,134.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.89,NA,262.655
LH195/PHR03,82.525,NA,NA,192.595,NA,168.185,150.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.385,NA,266.535
LH195/PHW30,73.31,NA,NA,174.19,NA,148.06,131.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.55,NA,256.69
LH195/PHW53,82.06,NA,NA,145.12,NA,119.545,139.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,200.135,NA,186.325
LH195/PHZ51,85.435,92.735,NA,178.5125,NA,138.82,163.335,NA,159.675,186.79,184.445,NA,NA,158.0525,177.5425,194.31231275,206.966666666667,189.71270415,215.118333333333
LH195/Q381,92.95,87.5666666666667,NA,125.81,NA,120.685,127.695,NA,176.635,167.49,167.09,NA,NA,174.065,173.075,186.51457735,178.045,172.70662975,196.075
LH198/3IIH6,103.04,NA,NA,NA,113.605,NA,145.1,NA,153.79,183.125,187.56,161.88,180.115,197.81,197.145,187.11259425,195.12,189.84936265,215.28
LH198/CGR01,NA,112.7675,NA,NA,90.6,NA,NA,162.005,NA,151.79,NA,205.015,166.66,NA,167.325,219.76556425,NA,194.13774475,NA
LH198/LH123HT,NA,85.1175,NA,NA,NA,NA,NA,NA,157.135,165.31,102.96,NA,NA,200.85,200.355,179.3656978,176.42,174.2897092,214.115
LH198/LH185,NA,127.2875,NA,NA,NA,NA,NA,NA,174.05,208.88,109.41,NA,NA,238.745,234.49,259.87876585,237.985,255.8814421,235.995
LH198/LH38,NA,108.635,NA,NA,NA,NA,NA,NA,141.625,176.33,106.95,NA,NA,202.62,203.48,200.36754775,207.33,211.08264495,235.12
LH198/LH51,NA,96.67,NA,NA,NA,NA,NA,NA,204.805,174.16,171.675,NA,NA,226.155,191.24,237.3640486,205,199.80748225,215.555
LH198/LH82,NA,124.86,NA,NA,NA,NA,NA,NA,118.63,188.925,109.285,NA,NA,194.11,193.855,208.247295,207.925,203.41767665,214.415
LH198/PHG29,NA,131.985,NA,NA,NA,NA,NA,NA,151.01,159.98,198.445,NA,NA,196.175,213.91,197.36984785,201.165,213.1713525,217.75
LH198/PHG47,NA,121.73,NA,NA,NA,NA,NA,NA,220.11,168.7,194.315,NA,NA,154.44,188.66,209.5125786,181.715,217.3459641,204.395
LH198/PHG83,NA,58.8475,NA,NA,NA,NA,NA,NA,72.485,130.245,111.52,NA,NA,116.575,132.84,133.4088601,139.55,129.525265,119.385
LH198/PHK56,NA,121.9275,NA,NA,NA,NA,NA,NA,167.035,210.01,194.915,NA,NA,198.555,229.84,220.24382715,222.455,231.6110858,212.765
LH198/PHN37,NA,110.4,NA,114.09,NA,129.195,NA,NA,183.145,138.595,187.505,NA,NA,221.485,162.815,237.4439683,173.175,204.69070115,198.005
