line_code,NEH4,ONH2,TXH1-Late,ARH1,COH1,NEH3,GAH2,GAH1,NYH1,NCH1,TXH2,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH3,TXH1-Dry,TXH1-Early,NYH2,ILH1,DEH1,IAH4,ONH1,WIH2,IAH1,WIH1,INH1,IAH3
BSSSC0_017/3IIH6,NA,NA,NA,112.305,NA,NA,NA,NA,88.8,NA,NA,116.32,NA,104.725,127.555,143.4,83.655,NA,NA,NA,175.465,186.87,91.31,142.325,NA,135.70117455,149.67,176.79843445,151.625,192.23
BSSSC0_020/3IIH6,NA,NA,NA,84.095,NA,NA,NA,NA,98.69,NA,NA,125.21,NA,NA,132.625,96.03,135.175,NA,NA,NA,166.53,143.8,129.685,141.655,NA,172.3267811,165.67,170.32288885,161.52,188.62
BSSSC0_024/3IIH6,NA,NA,NA,88.325,NA,NA,NA,NA,109.535,NA,NA,142.815,NA,117.04,120.725,167.63,149.175,NA,NA,NA,156.08,168.315,126.83,143.795,NA,180.2750668,168.285,171.2291196,198.13,186.545
BSSSC0_026/3IIH6,NA,NA,NA,92.695,NA,NA,NA,NA,139.515,NA,NA,137.115,NA,139.925,145.745,150.73,132.56,NA,NA,NA,190.04,195.465,153.8,173.245,NA,179.74521175,193.4,202.7452215,197.175,241.155
BSSSC0_029/3IIH6,NA,NA,NA,106.12,NA,NA,NA,NA,144.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSSSC0_038/3IIH6,NA,NA,NA,120.52,NA,NA,NA,NA,127.505,NA,NA,123.47,NA,NA,NA,89.62,159.31,NA,NA,NA,147.915,134.15,NA,NA,NA,NA,NA,NA,NA,NA
BSSSC0_054/3IIH6,NA,NA,NA,114.865,NA,NA,NA,NA,81.35,NA,NA,148.51,NA,48.575,82.6,79.595,87.215,NA,NA,NA,91.21,145.21,75.045,112.595,NA,62.96236813,85.72,86.26624007,101.435,120.835
BSSSC0_057/3IIH6,NA,NA,NA,119.525,NA,NA,NA,NA,109.005,NA,NA,123.935,NA,NA,NA,NA,NA,NA,NA,NA,184.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSSSC0_060/3IIH6,NA,NA,NA,93.64,NA,NA,NA,NA,145.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG102/3IIH6,NA,NA,NA,129.045,NA,NA,NA,NA,153.915,NA,NA,129.965,NA,142.8,159.265,203.615,164.25,NA,NA,NA,204.055,191.03,197.22,192.94,NA,217.60626795,213.71,244.17843705,193.925,228.6
CG106/3IIH6,NA,NA,NA,85,NA,NA,NA,NA,114.32,NA,NA,145.115,NA,NA,NA,103.51,141.175,NA,NA,NA,183.55,161.875,NA,NA,NA,NA,NA,NA,NA,NA
CG118/CGR01,NA,64.7,NA,NA,83.91,NA,NA,NA,76.4,NA,NA,NA,156.64,NA,163.28,NA,143.225,NA,NA,NA,188.96,NA,NA,146.47,213.255,157.436612,NA,168.9265537,NA,NA
CG120/3IIH6,NA,69.73,NA,NA,84.5825,NA,NA,NA,130.495,NA,NA,NA,148.67,NA,156.065,NA,164.36,NA,NA,NA,158.535,NA,NA,156.245,212.46,177.8935017,NA,208.98335125,NA,NA
CG120/LH162,NA,61.16,NA,NA,106.7775,NA,NA,NA,103.285,NA,NA,NA,127.535,NA,135.805,NA,119.605,NA,NA,NA,144.11,NA,NA,130.215,159.75,143.81515765,NA,104.25051479,NA,NA
CG120/LH185,NA,83.12,NA,NA,112.673333333333,NA,NA,NA,111.84,NA,NA,NA,161.92,NA,178.065,NA,201.465,NA,NA,NA,190.645,NA,NA,152.68,190.93,179.3356547,NA,215.7285317,NA,NA
CG120/PHK05,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,125.635,NA,127.165,NA,105.06,NA,NA,NA,NA,NA,NA,113.77,148.975,145.97202705,NA,151.0196881,NA,NA
CG120/PHR25,NA,NA,NA,NA,103.0875,NA,NA,NA,74.86,NA,NA,NA,129.175,NA,156.655,NA,121.13,NA,NA,NA,140.17,NA,NA,133.095,163.605,149.97077345,NA,154.89483095,NA,NA
CG120/PHZ51,NA,56.565,NA,NA,81.0066666666667,NA,NA,NA,72.065,NA,NA,NA,109.77,NA,136.545,NA,117.3,NA,NA,NA,133.365,NA,NA,113.78,113.855,121.7579493,NA,133.53396995,NA,NA
CG123/S8324,NA,78.31,NA,NA,136.8175,NA,NA,NA,106.305,NA,NA,NA,127.82,NA,177.95,NA,167.455,NA,NA,NA,185.045,NA,NA,154.755,199.62,177.23029375,NA,194.73860695,NA,NA
CG124/CG120,NA,65,NA,NA,103.1825,NA,NA,NA,80.845,NA,NA,NA,163.185,NA,137.245,NA,149.26,NA,NA,NA,172.57,NA,NA,149.03,174.18,163.9230786,NA,175.52595395,NA,NA
