line_code,Intcp_mean,Slope_mean,Intcp_para,Slope_para
PHG29/CG120,142.7866,0.8644,NA,-0.3095
PHG29/LH145,144.1875,1.0523,NA,4.4662
PHG29/PHB47,159.4905,0.9666,NA,-4.5943
PHG29/PHHV4,175.553,1.1523,NA,2.3996
PHG29/PHRE1,158.3731,0.9956,NA,0.9384
PHG29/S8324,150.9885,0.8893,NA,3.6479
PHG47/CG120,135.1829,0.8419,NA,5.052
PHG47/LH145,135.878,0.8746,NA,2.0472
PHG47/PHB47,161.5818,0.8743,NA,4.4368
PHG47/PHHV4,172.003,1.1072,NA,1.5274
PHG47/PHRE1,143.0832,1.072,NA,6.2598
PHG47/S8324,147.8138,0.6576,NA,2.8465
PHHV4/3IIH6,166.7374,1.0402,NA,3.7085
PHHV4/LH162,137.1394,0.9643,NA,4.0856
PHHV4/LH185,183.6319,1.1266,NA,2.5534
PHHV4/PHK05,121.3164,0.8891,NA,3.238
PHHV4/PHK56,165.0119,0.8582,NA,4.1467
PHHV4/PHR25,153.6876,0.9593,NA,0.5534
PHHV4/PHZ51,161.9481,1.1354,NA,5.1765
PHJ40/LH82,152.5807,0.8517,NA,2.8912
PHJ89/CG120,138.909,0.9475,NA,-0.4068
PHJ89/LH145,150.2276,1.0745,NA,1.1979
PHJ89/PHHV4,167.3086,1.072,NA,3.555
PHJ89/PHRE1,149.8216,1.088,NA,-0.9378
PHJ89/S8324,152.0314,1.0306,NA,4.7237
PHK05/PHRE1,109.0929,0.7861,NA,2.8142
PHK56/PHRE1,157.6155,1.2152,NA,4.8169
PHN66/LH123HT,145.4532,0.8136,NA,-2.819
PHN66/LH185,154.6463,0.7353,NA,-2.3029
PHN66/LH38,144.6203,0.9507,NA,-5.6999
PHN66/LH51,151.0851,0.9771,NA,-4.4799
PHN66/LH82,149.4801,0.8311,NA,-3.2689
PHN66/PHG29,148.4486,0.9193,NA,-4.56
PHN66/PHG47,143.7064,0.9394,NA,-3.352
PHN66/PHG83,157.7162,1.0071,NA,-3.9364
PHN66/PHK56,160.4234,1.0161,NA,-6.6956
PHN66/PHN82,159.2566,1.1369,NA,-5.4034
PHN66/PHZ51,146.296,0.997,NA,-5.6488
PHN66/Q381,147.4872,0.7018,NA,-2.3182
PHN82/LH145,149.0323,0.8553,NA,0.7421
PHN82/PHB47,171.1753,1.0861,NA,3.1407
PHN82/PHHV4,192.7391,1.2332,NA,7.5578
PHN82/PHRE1,164.9714,1.0943,NA,0.1474
PHN82/S8324,167.0939,1.1558,NA,0.5604
PHRE1/PHR25,122.3067,0.5063,NA,-0.2586
PHW52/LH123HT,153.9215,1.1444,NA,-4.1049
PHW52/LH38,162.9542,1.1564,NA,-6.2442
PHW52/LH51,150.4081,1.0127,NA,-5.9175
PHW52/LH82,150.1885,1.1207,NA,-5.8743
PHW52/PHG29,161.7664,1.0847,NA,-6.3215
PHW52/PHG47,147.8499,0.8423,NA,-1.8256
PHW52/PHG83,130.7958,1.0846,NA,-3.1176
PHW52/PHK56,177.2694,1.1061,NA,-6.6655
PHW52/PHM49,154.7284,1.1956,NA,-11.6275
