"line_code","env_code","Yield"
"B37/MO17","COH1",NA
"B37/MO17","COH1",NA
"B37/MO17","DEH1",NA
"B37/MO17","DEH1",NA
"B37/MO17","GAH2",NA
"B37/MO17","GAH2",NA
"B37/MO17","GAH2",NA
"B37/MO17","GAH2",NA
"B37/MO17","IAH1",NA
"B37/MO17","IAH1",NA
"B37/MO17","IAH2",NA
"B37/MO17","IAH2",NA
"B37/MO17","IAH3",NA
"B37/MO17","IAH3",NA
"B37/MO17","IAH4",NA
"B37/MO17","IAH4",NA
"B37/MO17","ILH1",NA
"B37/MO17","ILH1",NA
"B37/MO17","ILH1",NA
"B37/MO17","ILH1",NA
"B37/MO17","INH1",NA
"B37/MO17","INH1",NA
"B37/MO17","MIH1",NA
"B37/MO17","MIH1",NA
"B37/MO17","MIH1",NA
"B37/MO17","MIH1",NA
"B37/MO17","MNH1",NA
"B37/MO17","MNH1",NA
"B37/MO17","MOH1",NA
"B37/MO17","MOH1",NA
"B37/MO17","OHH1",NA
"B37/MO17","OHH1",NA
"B37/MO17","ONH1",NA
"B37/MO17","ONH1",NA
"B37/MO17","ONH1",NA
"B37/MO17","ONH1",NA
"B37/MO17","ONH2",NA
"B37/MO17","ONH2",NA
"B37/MO17","SCH1",NA
"B37/MO17","SCH1",NA
"B37/MO17","SCH1",NA
"B37/MO17","WIH1",NA
"B37/MO17","WIH1",NA
"B37/MO17","WIH2",NA
"B37/MO17","WIH2",NA
"B37/OH43","GAH2",81.56
"B37/OH43","TXH1-Early",155.22
"B37/OH43","TXH1-Early",180.92
"B37/OH43","TXH1-Dry",175.28
"B37/OH43","TXH1-Dry",159.2
"B37/OH43","TXH1-Late",134.6
"B37/OH43","TXH1-Late",90.44
"B37/OH43","ARH1",NA
"B37/OH43","ARH1",NA
"B37/OH43","ARH2",NA
"B37/OH43","ARH2",NA
"B37/OH43","GAH1",NA
"B37/OH43","GAH1",NA
"B37/OH43","IAH1",NA
"B37/OH43","IAH1",NA
"B37/OH43","IAH2",NA
"B37/OH43","IAH2",NA
"B37/OH43","IAH3",NA
"B37/OH43","IAH3",NA
"B37/OH43","IAH4",NA
"B37/OH43","IAH4",NA
"B37/OH43","NCH1",NA
"B37/OH43","NCH1",NA
"B37/OH43","NYH1",NA
"B37/OH43","NYH1",NA
"B37/OH43","NYH2",NA
"B37/OH43","NYH2",NA
"B37/OH43","WIH1",NA
"B37/OH43","WIH1",NA
"B37/OH43","WIH2",NA
"B37/OH43","WIH2",NA
"B37/H95","GAH1",87.77
"B37/H95","NEH3",45.62
"B37/H95","GAH1",108.19
"B37/H95","NEH4",36.44
"B37/H95","NEH4",34.75
"B37/H95","SCH1",NA
"B37/H95","GAH2",93.53
"B37/H95","NEH3",111.56
"B37/H95","GAH2",160.51
"B37/H95","SCH1",NA
"B37/H95","COH1",77.85
"B37/H95","DEH1",180.56
"B37/H95","MOH1",178.94
"B37/H95","TXH1-Dry",172.41
"B37/H95","DEH1",166.67
"B37/H95","MNH1",114.02
"B37/H95","COH1",86.05
"B37/H95","COH1",76.62
"B37/H95","COH1",74.61
"B37/H95","WIH2",173.2288276
"B37/H95","WIH1",140.8861217
"B37/H95","MOH1",114.6
"B37/H95","TXH1-Dry",171.12
"B37/H95","TXH1-Early",168.6
"B37/H95","ONH2",43.47
"B37/H95","ONH2",52.97
"B37/H95","TXH1-Early",188.38
"B37/H95","MNH1",138.59
"B37/H95","WIH1",218.8077413
"B37/H95","WIH2",103.5324091
"B37/H95","TXH1-Late",89.78
"B37/H95","TXH1-Late",52.03
"B37/H95","IAH4",146.08
"B37/H95","IAH4",131.94
"B37/H95","TXH2",103.09
"B37/H95","ARH1",NA
"B37/H95","ARH1",NA
"B37/H95","ARH2",NA
"B37/H95","ARH2",NA
"B37/H95","IAH1",NA
"B37/H95","IAH1",NA
"B37/H95","IAH2",NA
"B37/H95","IAH2",NA
"B37/H95","IAH3",NA
"B37/H95","IAH3",NA
"B37/H95","IAH4",NA
"B37/H95","IAH4",NA
"B37/H95","ILH1",NA
"B37/H95","ILH1",NA
"B37/H95","INH1",NA
"B37/H95","INH1",NA
"B37/H95","MIH1",NA
"B37/H95","MIH1",NA
"B37/H95","NCH1",NA
"B37/H95","NCH1",NA
"B37/H95","NYH1",NA
"B37/H95","NYH1",NA
"B37/H95","NYH2",NA
"B37/H95","NYH2",NA
"B37/H95","OHH1",NA
"B37/H95","OHH1",NA
"B37/H95","ONH1",NA
"B37/H95","ONH1",NA
"B14A/H95","GAH1",71.19
"B14A/H95","GAH1",97.71
"B14A/H95","NCH1",129.91
"B14A/H95","NCH1",162.69
"B14A/H95","SCH1",NA
"B14A/H95","GAH2",174.66
"B14A/H95","GAH2",153.91
"B14A/H95","SCH1",NA
"B14A/H95","COH1",103.71
"B14A/H95","TXH1-Early",195.34
"B14A/H95","DEH1",73
"B14A/H95","DEH1",113.62
"B14A/H95","IAH3",240.2
"B14A/H95","MOH1",173.61
"B14A/H95","MOH1",168.47
"B14A/H95","ILH1",222.82
"B14A/H95","COH1",102.07
"B14A/H95","TXH1-Early",205.78
"B14A/H95","INH1",201.26
"B14A/H95","TXH1-Dry",188.52
"B14A/H95","INH1",194.41
"B14A/H95","COH1",66.85
"B14A/H95","COH1",66.34
"B14A/H95","IAH1",183.65
"B14A/H95","ILH1",135.04
"B14A/H95","TXH1-Dry",184.62
"B14A/H95","TXH1-Late",93.48
"B14A/H95","ONH2",50.69
"B14A/H95","WIH1",208.692
"B14A/H95","ONH2",69.02
"B14A/H95","IAH2",198.24
"B14A/H95","WIH1",193.1053998
"B14A/H95","TXH2",182.12
"B14A/H95","IAH1",204.28
"B14A/H95","IAH3",251.81
